Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] Dimer Site,[Other] Active Site,[Other] Herbicide Site
fa1791a,FATAATA-x1791_A_401_v1,FATAATA-x1791,Z274575916,Cc1cc(N2CCNCC2)nc(C)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985+A+360,3 - FATAATA-x1985+A+360+1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1791a,False,True,False
fa1791b,FATAATA-x1791_B_360_v1,FATAATA-x1791,Z274575916,Cc1cc(N2CCNCC2)nc(C)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985+A+360,3 - FATAATA-x1985+A+360+1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1791a,False,False,False
fa1794a,FATAATA-x1794_A_401_v1,FATAATA-x1794,Z275165822,CC(=O)N1CCN(c2ccc(Cl)cc2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1794a,False,False,True
fa1794b,FATAATA-x1794_B_360_v1,FATAATA-x1794,Z275165822,CC(=O)N1CCN(c2ccc(Cl)cc2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1794a,False,False,False
fa1809a,FATAATA-x1809_A_361_v1,FATAATA-x1809,Z285233820,COc1ccccc1-c1nnc(N)o1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168+A+400,4 - FATAATA-x1168+A+400+1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168+A+400,4 - fa1168+A+400+1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,4a - fa1168+A+400,4 - fa1168+A+400+1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1809a,False,True,False
fa1809b,FATAATA-x1809_B_401_v1,FATAATA-x1809,Z285233820,COc1ccccc1-c1nnc(N)o1,FATAATA-x1168/A/142/A_v1,False,4a - FATAATA-x1168+A+400,4 - FATAATA-x1168+A+400+1,F1d - FATAATA-x1168/A/400/1,A1 - dimer,F1 - original-I222,4a - fa1168+A+400,4 - fa1168+A+400+1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,4a - fa1168+A+400,4 - fa1168+A+400+1,F1d - fa1168/A/400,A1 - dimer,F1 - original-I222,fa1809a,False,False,False
fa1816a,FATAATA-x1816_A_360_v1,FATAATA-x1816,Z28870646,CC(=O)N1c2ccccc2CC[C@H]1C,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1816a,False,False,True
fa1816b,FATAATA-x1816_B_401_v1,FATAATA-x1816,Z28870646,CC(=O)N1c2ccccc2CC[C@H]1C,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1816a,False,False,False
fa1821a,FATAATA-x1821_A_401_v1,FATAATA-x1821,Z295205242,Cc1nccn1Cc1cccc(C#N)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147+A+360,2 - FATAATA-x1147+A+360+1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147+A+360,2 - fa1147+A+360+1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,2a - fa1147+A+360,2 - fa1147+A+360+1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1821a,True,False,False
fa1821b,FATAATA-x1821_B_360_v1,FATAATA-x1821,Z295205242,Cc1nccn1Cc1cccc(C#N)c1,FATAATA-x1147/B/258/A_v1,False,2a - FATAATA-x1147+A+360,2 - FATAATA-x1147+A+360+1,F1b - FATAATA-x1142/A/361/1,A1 - dimer,F1 - original-I222,2a - fa1147+A+360,2 - fa1147+A+360+1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,2a - fa1147+A+360,2 - fa1147+A+360+1,F1b - fa1142/A/361,A1 - dimer,F1 - original-I222,fa1821a,False,False,False
